Title,Amount,Date,Category
Citizen option company computer.,486.19,2023-05-16,Other
Whatever represent protect.,320.93,2023-08-23,Other
Thus gas indeed.,233.83,2023-08-06,Entertainment
Thousand beat likely federal why.,260.01,2023-09-17,Entertainment
Page later rate.,248.78,2023-05-15,Food
Their against pattern.,172.71,2023-09-09,Entertainment
Season travel.,72.05,2023-09-20,Food
Natural they forward like success.,244.07,2023-10-17,Food
Who production general.,214.63,2023-09-21,Entertainment
Worker media though.,227.74,2023-09-29,Food
Away water experience generation.,476.17,2023-07-26,Entertainment
Indicate some position.,249.24,2023-06-17,Entertainment
Rich body.,222.98,2023-05-26,Entertainment
Safe indicate start approach successful.,165.43,2023-09-14,Entertainment
Scientist popular.,340.69,2023-05-17,Other
Strong offer last never toward.,211.74,2023-06-27,Food
Up win carry.,255.25,2023-10-31,Other
Cover worry shake.,393.55,2023-10-01,Food
Away work.,388.77,2023-06-09,Entertainment
Particular tree support.,313.47,2023-06-24,Entertainment
